name,author,publisher,number of books
To Kill a Mockingbird,Harper Lee,HarperCollins,10
Wuthering Heights,Emily ,Thomas Cautley Newby,3
The Great Gatsby,F. Scott Fitzgerald,Scribner,5
Pride and Prejudice,Jane Austen,Penguin Classics,7
The Lord of the Rings,J.R.R. Tolkien,Houghton Mifflin,15
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Scholastic,34
Brave New World,Aldous Huxley,Harper & Brothers,24
The Catcher in the Rye,J.D. Salinger,"Little, Brown",2
Moby-Dick,Herman Melville,Harper & Brothers,12
To the Lighthouse,Virginia Woolf,Hogarth Press,1
The Odyssey,Homer,Penguin Classics,5
Fahrenheit 451,Ray Bradbury,Simon & Schuster,9
One Hundred Years of Solitude,Gabriel García Márquez,Harper & Row,19
The Chronicles of Narnia: The Lion...,C.S. Lewis,HarperCollins,10